13,Stefan,Santrac,MALE,16/04/2020,TRECA,pera,pera
132,Ivan,Papic,MALE,16/04/2020,DRUGA,pera,pera
123,Lazar,Pavlovic,MALE,16/04/2020,TRECA,pera,pera
333,Nikola,Marinkovic,MALE,11/11/2020,TRECA,pera,pera
3,Lana,Laric,FEMALE,16/04/2020,TRECA,pera,pera
111,Aleksandra,Aleksic,FEMALE,11/11/2020,PRVA,pera,pera
18,Lazar,Jankovic,MALE,11/11/2020,DRUGA,pera,pera
19,Petra,Petrovic,FEMALE,11/11/2020,DRUGA,pera,pera
1661,Sebastijan,Fetel,MALE,11/11/2020,TRECA,pera,pera
51,Jovana,Lovric,FEMALE,11/11/2020,TRECA,pera2,pera2
2,Milica,Paric,FEMALE,11/11/2020,PRVA,pera,pera
997,Aleksandar,Lazarevic,MALE,11/11/2020,DRUGA,pera,pera
899,Milica,Marjanov,FEMALE,12/12/1989,DRUGA,pera,pera
17,Anja,Malic,FEMALE,11/11/2020,TRECA,pera,pera
177,Nikola,Nikolic,MALE,12/12/1988,PRVA,mika,mika
